paper_id,transE_score,year
NOVEL_QA_26,12.444953918457031,2021.0
NOVEL_QA_27,13.704522132873535,2021.0
NOVEL_QA_30,13.789203643798828,2021.0
NOVEL_QA_32,13.967439651489258,2021.0
NOVEL_QA_33,13.76832103729248,2021.0
NOVEL_QA_34,13.83581829071045,2021.0
NOVEL_QA_35,12.799664497375488,2021.0
NOVEL_QA_36,13.60847282409668,2021.0
NOVEL_QA_37,13.44528865814209,2021.0
NOVEL_QA_38,13.60760498046875,2020.0
NOVEL_QA_39,13.684292793273926,2021.0
NOVEL_QA_40,13.800237655639648,2021.0
NOVEL_QA_43,12.74043083190918,2021.0
NOVEL_QA_44,12.818633079528809,2021.0
NOVEL_QA_45,13.673083305358887,2021.0
NOVEL_QA_46,13.77791976928711,2021.0
NOVEL_QA_47,12.523030281066895,2021.0
NOVEL_QA_48,13.645539283752441,2021.0
NOVEL_QA_50,13.852367401123047,2021.0
NOVEL_QA_52,13.915852546691895,2021.0
NOVEL_QA_53,13.660651206970215,2021.0
NOVEL_QA_54,13.450249671936035,2021.0
NOVEL_QA_55,13.600164413452148,2021.0
NOVEL_QA_57,13.78115177154541,2021.0
NOVEL_QA_58,13.725077629089355,2021.0
NOVEL_QA_59,13.200095176696777,2021.0
NOVEL_QA_60,13.44894027709961,2021.0
NOVEL_QA_61,12.633370399475098,2021.0
NOVEL_QA_62,13.64585018157959,2021.0
NOVEL_QA_63,12.698559761047363,2021.0
NOVEL_QA_64,12.80740737915039,2021.0
NOVEL_QA_65,12.768341064453125,2021.0
NOVEL_QA_66,13.899876594543457,2021.0
NOVEL_QA_67,13.474137306213379,2021.0
NOVEL_QA_69,12.744107246398926,2021.0
NOVEL_QA_70,12.811092376708984,2021.0
NOVEL_QA_72,14.119217872619629,2021.0
NOVEL_QA_74,13.75208854675293,2021.0
NOVEL_QA_75,12.751072883605957,2021.0
NOVEL_QA_76,12.769471168518066,2021.0
NOVEL_QA_77,12.756054878234863,2021.0
NOVEL_QA_79,12.690204620361328,2021.0
NOVEL_QA_80,12.809484481811523,2021.0
NOVEL_QA_81,13.932719230651855,2021.0
NOVEL_QA_83,13.479679107666016,2021.0
NOVEL_QA_84,12.759587287902832,2021.0
NOVEL_QA_86,12.668499946594238,2021.0
NOVEL_SA_0,12.894648551940918,2021.0
NOVEL_SA_1,13.323162078857422,2021.0
NOVEL_SA_2,12.769010543823242,2021.0
NOVEL_SA_3,12.535886764526367,2021.0
NOVEL_SA_4,12.629310607910156,2021.0
NOVEL_SA_7,12.89478588104248,2021.0
NOVEL_SA_8,12.697787284851074,2021.0
NOVEL_SA_9,13.432109832763672,2021.0
NOVEL_SA_10,13.808306694030762,2021.0
NOVEL_SA_11,13.622489929199219,2021.0
NOVEL_SA_12,13.728311538696289,2021.0
NOVEL_SA_13,12.858163833618164,2021.0
NOVEL_SA_14,12.804705619812012,2021.0
NOVEL_SA_15,13.985396385192871,2021.0
NOVEL_SA_16,13.752983093261719,2021.0
NOVEL_SA_17,12.751873970031738,2021.0
NOVEL_SA_18,13.677834510803223,2021.0
NOVEL_SA_19,12.5535249710083,2021.0
NOVEL_SA_20,12.712078094482422,2021.0
NOVEL_SA_21,14.064483642578125,2021.0
NOVEL_SA_22,14.286855697631836,2021.0
NOVEL_SA_24,13.707365036010742,2021.0
NOVEL_SA_25,12.79079818725586,2021.0
NOVEL_SA_26,13.814641952514648,2021.0
NOVEL_SA_27,13.967439651489258,2021.0
NOVEL_SA_28,13.608470916748047,2021.0
NOVEL_SA_29,12.945402145385742,2021.0
NOVEL_SA_30,14.172832489013672,2021.0
NOVEL_SA_31,13.44528865814209,2021.0
NOVEL_SA_33,13.875324249267578,2021.0
NOVEL_SA_34,13.877034187316895,2021.0
NOVEL_SA_37,13.645539283752441,2021.0
NOVEL_SA_38,13.58198356628418,2021.0
NOVEL_SA_39,13.600164413452148,2021.0
NOVEL_SA_40,13.78115177154541,2021.0
NOVEL_SA_41,12.653287887573242,2021.0
NOVEL_SA_42,13.44894027709961,2021.0
NOVEL_SA_43,13.620431900024414,2021.0
NOVEL_SA_44,13.64585018157959,2021.0
NOVEL_SA_45,12.78764820098877,2021.0
NOVEL_SA_46,13.552657127380371,2021.0
NOVEL_SA_48,12.693414688110352,2021.0
NOVEL_SA_49,12.768614768981934,2021.0
NOVEL_SA_50,14.134880065917969,2021.0
NOVEL_SA_51,12.70176887512207,2021.0
NOVEL_SA_52,13.621685028076172,2021.0
NOVEL_SA_53,12.657135963439941,2021.0
NOVEL_SA_55,12.837106704711914,2021.0
NOVEL_SA_56,14.119217872619629,2021.0
NOVEL_SA_57,13.891499519348145,2021.0
NOVEL_SA_58,13.623143196105957,2021.0
NOVEL_SA_59,13.75887680053711,2021.0
NOVEL_SA_60,12.773548126220703,2021.0
NOVEL_SA_61,13.804672241210938,2021.0
NOVEL_SA_62,14.048548698425293,2021.0
NOVEL_SA_63,13.895224571228027,2021.0
NOVEL_SA_64,13.932719230651855,2021.0
