paper_id,n_triples,mean_dist,min_dist,max_dist,std_dist,pct_unseen_entity,pct_unseen_pred,transe_unexpectedness
NOVEL_DIA_W4388095513,228,1.8371193,1.2841628,2.6221354,0.33155295,0.0,0.0,0.32088453
NOVEL_DIA_W4388701278,209,1.8903049,1.3258944,2.6726327,0.3401968,0.0,0.0,0.37442222
NOVEL_DIA_W4389203481,252,1.720734,1.3455738,2.5667207,0.22747543,0.0,0.0,0.20372866
NOVEL_DIA_W4389519254,140,1.6793332,1.3489726,2.6273298,0.18184836,0.0,0.0,0.16205378
NOVEL_DIA_W4389523957,589,1.5431057,1.29623,2.1577277,0.13170084,0.0,0.0,0.02492441
NOVEL_DIA_W4389793309,446,1.7019967,1.3562796,2.8517933,0.20923243,0.0,0.0,0.18486731
NOVEL_DIA_W4389934892,231,1.9021424,1.3495337,2.7930076,0.34164238,0.0,0.0,0.38633808
NOVEL_DIA_W4392669753,638,1.5183452,1.3184168,2.383158,0.12742518,0.0,0.0,0.0
NOVEL_DIA_W4399790131,420,1.8745666,1.2764162,2.7126317,0.36044708,0.0,0.0,0.35857967
NOVEL_MT_0,73,2.0777168,1.4633083,2.7524748,0.4732345,0.0,0.0,0.5630749
NOVEL_MT_10,120,2.0531433,1.4261234,2.7658083,0.45074627,0.0,0.0,0.5383386
NOVEL_MT_101,21,2.1568067,1.4710894,2.6650336,0.4669267,0.0,0.0,0.6426884
NOVEL_MT_104,158,2.0590277,1.4501104,2.7082229,0.46748623,0.0,0.0,0.544262
NOVEL_MT_105,40,2.0782938,1.5005189,2.692111,0.44535175,0.0,0.0,0.5636557
NOVEL_MT_107,111,2.1475213,1.4576323,2.8294547,0.4566481,0.0,0.0,0.63334143
NOVEL_MT_108,156,1.9920901,1.494783,2.6693711,0.45967996,0.0,0.0,0.47688127
NOVEL_MT_109,23,2.060281,1.5005977,2.6813118,0.4645817,0.0,0.0,0.54552364
NOVEL_MT_11,164,2.011525,1.3537811,2.7489622,0.43572697,0.0,0.0,0.49644473
NOVEL_MT_110,123,2.0919547,1.3934342,2.8809948,0.4990192,0.0,0.0,0.577407
NOVEL_MT_112,126,2.1981702,1.4765682,2.7169201,0.41796452,0.0,0.0,0.6843257
NOVEL_MT_113,157,2.1332228,1.4819291,2.7002873,0.46751013,0.0,0.0,0.61894834
NOVEL_MT_115,117,2.0800247,1.4811782,2.734017,0.45959356,0.0,0.0,0.56539804
NOVEL_MT_116,186,1.957394,1.4374927,2.7260313,0.4511478,0.0,0.0,0.44195545
NOVEL_MT_117,238,2.165643,1.4549105,2.7734718,0.46883363,0.0,0.0,0.65158314
NOVEL_MT_118,111,2.1495197,1.4934967,2.7948687,0.45911273,0.0,0.0,0.6353531
NOVEL_MT_120,194,2.0211997,1.4159783,2.7178168,0.47723982,0.0,0.0,0.50618356
NOVEL_MT_121,81,2.0162911,1.4344193,2.7150776,0.48514137,0.0,0.0,0.5012425
NOVEL_MT_122,235,2.136654,1.4576151,2.830161,0.49761492,0.0,0.0,0.62240213
NOVEL_MT_124,65,2.0978267,1.411203,2.6616907,0.4682709,0.0,0.0,0.5833179
NOVEL_MT_125,150,2.0323846,1.4506898,2.8892622,0.46201017,0.0,0.0,0.5174426
NOVEL_MT_127,94,2.008576,1.4931251,2.7741766,0.478583,0.0,0.0,0.4934762
NOVEL_MT_128,110,2.2084856,1.4703813,2.7904696,0.43426135,0.0,0.0,0.6947094
NOVEL_MT_130,92,2.0925336,1.4621438,2.6831355,0.46844283,0.0,0.0,0.57798976
NOVEL_MT_132,228,2.1709833,1.5123527,2.7609878,0.46237588,0.0,0.0,0.6569588
NOVEL_MT_133,149,2.0507514,1.4420602,2.811497,0.5011616,0.0,0.0,0.535931
NOVEL_MT_137,98,2.0871382,1.466546,2.7044008,0.46744472,0.0,0.0,0.5725586
NOVEL_MT_139,190,2.052594,1.4420573,2.8121147,0.47745633,0.0,0.0,0.53778565
NOVEL_MT_140,172,2.1888824,1.3653555,2.9893007,0.4714936,0.0,0.0,0.67497635
NOVEL_MT_141,185,2.008481,1.4084811,2.8015893,0.4781573,0.0,0.0,0.4933807
NOVEL_MT_144,232,2.0719488,1.4217869,2.7617974,0.4530169,0.0,0.0,0.5572686
NOVEL_MT_148,200,2.1276002,1.4769785,2.7405632,0.4885613,0.0,0.0,0.61328846
NOVEL_MT_15,66,2.2707138,1.4754113,2.7484784,0.42800745,0.0,0.0,0.75734955
NOVEL_MT_150,174,2.0661783,1.444428,2.767319,0.47784466,0.0,0.0,0.55145997
NOVEL_MT_153,183,1.9497108,1.456635,2.8179438,0.46656376,0.0,0.0,0.43422145
NOVEL_MT_154,146,2.1565115,1.4459254,2.7744815,0.49161994,0.0,0.0,0.64239126
NOVEL_MT_155,40,1.9630725,1.4648817,2.6302168,0.462954,0.0,0.0,0.4476716
NOVEL_MT_156,127,2.1503806,1.3402108,2.9225366,0.48134682,0.0,0.0,0.63621974
NOVEL_MT_16,99,2.2003493,1.4493921,2.8136635,0.48419386,0.0,0.0,0.68651927
NOVEL_MT_161,27,1.9342405,1.4468727,2.724091,0.4331314,0.0,0.0,0.41864863
NOVEL_MT_163,194,1.9767973,1.4416542,2.7120268,0.44401354,0.0,0.0,0.46148726
NOVEL_MT_165,109,2.1015518,1.3890258,2.7757196,0.48080382,0.0,0.0,0.5870676
NOVEL_MT_167,204,2.137013,1.4319135,2.8314083,0.45795152,0.0,0.0,0.6227636
NOVEL_MT_168,155,2.219326,1.4612236,2.8177598,0.4721287,0.0,0.0,0.7056216
NOVEL_MT_17,246,2.1875896,1.4236662,2.8322616,0.48411,0.0,0.0,0.6736751
NOVEL_MT_172,207,2.0698211,1.4161175,2.7983747,0.47565508,0.0,0.0,0.5551269
NOVEL_MT_174,68,2.0580225,1.4797958,2.689909,0.48302555,0.0,0.0,0.54325014
NOVEL_MT_177,92,2.2256773,1.3851303,2.7514286,0.46659824,0.0,0.0,0.71201485
NOVEL_MT_179,96,2.0830646,1.4527544,2.8090167,0.5122798,0.0,0.0,0.568458
NOVEL_MT_180,164,2.0882163,1.4505146,2.721711,0.46183762,0.0,0.0,0.57364386
NOVEL_MT_181,35,2.256153,1.4841617,2.8012238,0.46781474,0.0,0.0,0.7426925
NOVEL_MT_182,105,2.2088857,1.4724748,2.695657,0.44307843,0.0,0.0,0.6951121
NOVEL_MT_183,4,2.471696,2.2478037,2.5935342,0.15317872,0.0,0.0,0.95966226
NOVEL_MT_185,218,2.0152407,1.4392997,2.8363712,0.46327013,0.0,0.0,0.5001851
NOVEL_MT_186,135,2.0620174,1.4886303,2.8988178,0.4697206,0.0,0.0,0.54727155
NOVEL_MT_187,78,2.1333263,1.4807394,2.6676874,0.48934683,0.0,0.0,0.61905247
NOVEL_MT_188,76,2.128749,1.4941213,2.703026,0.4696391,0.0,0.0,0.6144448
NOVEL_MT_189,56,1.98205,1.4574976,2.6394775,0.47535127,0.0,0.0,0.46677464
NOVEL_MT_19,138,1.9945549,1.4525151,2.7506568,0.4802563,0.0,0.0,0.47936237
