paper_id,year,split,domain,final_novelty_score,structural_novelty,disruption_index,contribution_type
SKG_MT_829,2013,SKG,MT,0.2541253667854429,0.8205128205128205,-0.5663874537273776,Incremental
SKG_SUM_0,2013,SKG,SUM,0.3548836721701768,0.8235294117647058,-0.46864573959452904,Incremental
SKG_SA_229,2013,SKG,SA,0.3965110722364512,0.8695652173913043,-0.4730541451548531,Incremental
SKG_MT_1324,2013,SKG,MT,0.39451719644482,0.8588235294117647,-0.4643063329669447,Incremental
SKG_QA_3,2013,SKG,QA,0.3074410367543232,0.9315068493150684,-0.6240658125607452,Incremental
SKG_MT_1290,2013,SKG,MT,0.2971598789602303,0.8849557522123894,-0.5877958732521591,Incremental
SKG_MT_869,2013,SKG,MT,0.2240508179708689,0.9117647058823528,-0.6877138879114839,Incremental
SKG_MT_225,2013,SKG,MT,0.3321819665299142,0.7129629629629629,-0.3807809964330487,Incremental
SKG_MT_1310,2013,SKG,MT,0.3434800276394775,0.8142857142857143,-0.4708056866462368,Incremental
SKG_MT_1069,2013,SKG,MT,0.336980781135743,0.8823529411764706,-0.5453721600407275,Incremental
SKG_MT_845,2013,SKG,MT,0.2451824238823061,0.8558558558558559,-0.6106734319735498,Incremental
SKG_SUM_34,2013,SKG,SUM,0.298345897618796,0.8461538461538461,-0.5478079485350502,Incremental
SKG_MT_1082,2013,SKG,MT,0.2800334647057815,0.8301886792452831,-0.5501552145395016,Incremental
SKG_PAR_52,2013,SKG,PAR,0.2781576600405258,0.7142857142857143,-0.4361280542451885,Incremental
SKG_MT_515,2013,SKG,MT,0.326177700362078,0.864516129032258,-0.53833842867018,Incremental
SKG_QA_84,2013,SKG,QA,0.3671294026586853,0.95,-0.5828705973413146,Incremental
SKG_MT_885,2013,SKG,MT,0.2311940159799451,0.8108108108108109,-0.5796167948308657,Incremental
SKG_MT_1386,2013,SKG,MT,0.3678989310589611,0.8426966292134831,-0.474797698154522,Incremental
SKG_MT_740,2013,SKG,MT,0.2918072987090041,0.8616352201257862,-0.5698279214167821,Incremental
SKG_MT_741,2013,SKG,MT,0.3295663551964611,0.6511627906976745,-0.32159643550121336,Disruptive
SKG_SA_111,2013,SKG,SA,0.3070433624308049,0.9013157894736842,-0.5942724270428793,Incremental
SKG_SA_577,2013,SKG,SA,0.3691167019766647,0.6666666666666666,-0.29754996469000194,Disruptive
SKG_SA_557,2013,SKG,SA,0.3701304508374189,0.7213114754098361,-0.3511810245724172,Disruptive
SKG_MT_1211,2013,SKG,MT,0.2984425372281435,0.7368421052631579,-0.43839956803501434,Incremental
SKG_SA_469,2013,SKG,SA,0.2904509096601249,0.9375,-0.6470490903398751,Incremental
SKG_SA_191,2013,SKG,SA,0.3021448762721616,0.8470588235294118,-0.5449139472572502,Incremental
SKG_PAR_56,2013,SKG,PAR,0.2972246344679948,0.8431372549019608,-0.5459126204339659,Incremental
SKG_MT_891,2013,SKG,MT,0.2771908464711007,0.8194444444444444,-0.5422535979733437,Incremental
SKG_PAR_53,2013,SKG,PAR,0.327467434641269,0.8588235294117647,-0.5313560947704956,Incremental
SKG_MT_156,2013,SKG,MT,0.2707467903246765,0.726027397260274,-0.45528060693559746,Incremental
SKG_MT_147,2013,SKG,MT,0.3460570963622252,0.7818181818181819,-0.43576108545595665,Incremental
SKG_MT_500,2013,SKG,MT,0.3959423442587479,0.7647058823529411,-0.3687635380941932,Disruptive
SKG_SA_590,2013,SKG,SA,0.2663481286300322,0.8363636363636363,-0.5700155077336041,Incremental
SKG_MT_1225,2013,SKG,MT,0.350318190038722,0.8333333333333334,-0.48301514329461137,Incremental
SKG_QA_20,2013,SKG,QA,0.2989920075296202,0.8734177215189873,-0.5744257139893671,Incremental
SKG_MT_150,2013,SKG,MT,0.3644441957095988,0.8165137614678899,-0.4520695657582911,Incremental
SKG_MT_200,2013,SKG,MT,0.3828206349855941,0.864516129032258,-0.48169549404666395,Incremental
SKG_MT_178,2013,SKG,MT,0.3303723894165045,0.7419354838709677,-0.41156309445446326,Incremental
SKG_MT_481,2013,SKG,MT,0.3690793713779364,0.8405797101449275,-0.4715003387669911,Incremental
SKG_QA_12,2013,SKG,QA,0.3176969434050263,0.8,-0.48230305659497374,Incremental
SKG_MT_180,2013,SKG,MT,0.3019273905804118,0.8050314465408805,-0.5031040559604687,Incremental
SKG_SA_435,2013,SKG,SA,0.3427099882123621,0.8807947019867549,-0.5380847137743928,Incremental
SKG_SA_414,2013,SKG,SA,0.3396252525739872,0.8703703703703703,-0.5307451177963831,Incremental
SKG_PAR_106,2013,SKG,PAR,0.3660957490885148,0.8611111111111112,-0.4950153620225964,Incremental
SKG_MT_1036,2013,SKG,MT,0.3937280057666226,0.9041095890410958,-0.5103815832744732,Incremental
SKG_MT_100,2013,SKG,MT,0.3981487376211149,0.8571428571428571,-0.4589941195217422,Incremental
SKG_MT_719,2013,SKG,MT,0.3038657206788084,0.8450704225352113,-0.5412047018564028,Incremental
SKG_SA_32,2013,SKG,SA,0.2932004449987495,0.8840579710144928,-0.5908575260157434,Incremental
SKG_PAR_20,2013,SKG,PAR,0.3185384270430915,0.7974683544303798,-0.4789299273872883,Incremental
SKG_SA_48,2013,SKG,SA,0.3368925941011346,0.902439024390244,-0.5655464302891094,Incremental
SKG_SA_40,2013,SKG,SA,0.3606880764640732,0.8947368421052632,-0.53404876564119,Incremental
SKG_SA_609,2013,SKG,SA,0.3838839605609033,0.8195488721804511,-0.43566491161954785,Incremental
SKG_SA_597,2013,SKG,SA,0.5895880691934091,0.9126984126984128,-0.32311034350500367,Disruptive
SKG_MT_80,2013,SKG,MT,0.250887466674294,0.8181818181818182,-0.5672943515075242,Incremental
SKG_MT_1429,2013,SKG,MT,0.304917137358985,0.7857142857142857,-0.4807971483553007,Incremental
SKG_MT_21,2013,SKG,MT,0.3220381566776363,0.8442211055276382,-0.5221829488500018,Incremental
SKG_QA_334,2013,SKG,QA,0.2890698074675009,0.875,-0.5859301925324991,Incremental
