paper_id,structural_novelty,triple_count
SKG_MT_809,0.8742857142857143,175
SKG_MT_217,0.8165137614678899,109
SKG_SA_65,1.0,4
SKG_MT_221,0.7948717948717948,78
SKG_SA_78,0.8461538461538461,39
SKG_QA_269,0.7894736842105263,38
SKG_PAR_100,0.7486910994764397,191
SKG_QA_256,0.8977272727272727,88
SKG_MT_401,0.7333333333333333,45
SKG_MT_405,0.7987421383647799,159
SKG_SA_509,0.8247422680412371,97
SKG_PAR_84,0.8620689655172413,87
SKG_SA_107,0.8584905660377359,106
SKG_SA_114,0.75,76
SKG_PAR_79,0.8373983739837398,123
SKG_SA_531,0.9,90
SKG_SA_535,0.7974683544303798,158
SKG_MT_1254,0.6385542168674698,83
SKG_SA_143,0.8778625954198473,262
SKG_MT_959,0.8014184397163121,141
SKG_MT_262,0.8333333333333334,90
SKG_PAR_67,0.7875647668393783,193
SKG_PAR_61,0.7768595041322314,121
SKG_SA_542,0.7575757575757576,33
SKG_MT_971,0.8135593220338984,177
SKG_MT_48,0.5121951219512195,41
SKG_SA_545,0.7777777777777778,9
SKG_MT_428,0.7301587301587301,126
SKG_MT_668,0.8313253012048193,83
SKG_MT_972,0.8,70
SKG_QA_168,0.7857142857142857,56
SKG_MT_429,0.8118811881188119,101
SKG_SA_564,0.75,144
SKG_MT_976,0.7567567567567568,74
SKG_MT_24,0.7888888888888889,90
SKG_QA_155,0.775,120
SKG_SA_240,0.7777777777777778,99
SKG_MT_1293,0.823170731707317,164
SKG_MT_437,0.675,40
SKG_MT_18,0.875,32
SKG_MT_296,0.819672131147541,61
SKG_SA_592,0.8541666666666666,48
SKG_MT_1295,0.8666666666666667,90
SKG_QA_107,0.8555555555555555,180
SKG_MT_304,0.7545454545454545,110
SKG_SA_596,0.7978723404255319,94
SKG_MT_1004,0.75,80
SKG_SA_266,0.7818181818181819,220
SKG_MT_441,0.7272727272727273,88
SKG_SA_608,0.7209302325581395,43
SKG_MT_651,0.8333333333333334,72
SKG_MT_642,0.7897727272727273,176
SKG_MT_1333,0.6619718309859155,71
SKG_MT_1346,0.8416666666666667,120
SKG_MT_1032,0.7719298245614035,57
SKG_MT_1035,0.5882352941176471,102
SKG_MT_1456,0.6666666666666666,42
SKG_DIA_40,0.7586206896551724,29
SKG_MT_1045,0.8395061728395061,81
SKG_MT_471,0.7662337662337663,77
SKG_SUM_64,0.8275862068965517,29
SKG_QA_28,1.0,2
SKG_QA_419,0.782312925170068,147
SKG_QA_421,0.7767857142857143,112
SKG_QA_407,0.8205128205128205,117
SKG_QA_405,0.8043478260869565,92
SKG_QA_470,0.8392857142857143,112
SKG_SA_8,0.7801857585139319,323
SKG_SA_17,0.7862595419847328,131
SKG_MT_201,0.8345864661654135,133
SKG_SA_26,0.9130434782608695,69
SKG_MT_887,0.8187919463087249,149
SKG_QA_376,0.826530612244898,98
SKG_QA_375,0.7914691943127962,211
SKG_QA_366,0.7378640776699029,103
SKG_MT_895,0.8465909090909091,176
SKG_MT_897,0.8666666666666667,105
SKG_MT_901,0.7560975609756098,82
SKG_QA_345,0.8125,112
SKG_MT_905,0.7731958762886598,97
SKG_MT_107,0.6973684210526315,76
SKG_QA_340,0.9024390243902439,41
SKG_QA_337,0.7532467532467533,77
SKG_QA_335,0.7518248175182481,137
SKG_SA_41,0.8068965517241379,145
SKG_MT_103,0.9322033898305084,118
SKG_QA_312,0.8,90
SKG_MT_215,0.7625,80
SKG_SA_85,0.8571428571428571,105
SKG_QA_261,0.7985074626865671,134
SKG_SA_89,0.9052631578947369,95
SKG_QA_253,0.8309859154929577,71
SKG_MT_230,0.6904761904761905,42
SKG_MT_237,0.8163265306122449,49
SKG_SA_128,0.8275862068965517,232
SKG_MT_241,0.823943661971831,142
SKG_MT_247,0.8243243243243243,74
SKG_MT_960,0.8076923076923077,78
SKG_SA_160,0.7681159420289855,138
SKG_QA_197,0.8372093023255814,43
SKG_QA_182,0.8605769230769231,208
SKG_MT_274,0.875,16
SKG_SA_190,0.8865979381443299,97
SKG_SA_193,0.7352941176470589,68
SKG_SA_234,0.8133971291866029,209
SKG_SA_238,0.7169811320754716,106
SKG_QA_131,0.6428571428571429,14
SKG_MT_994,0.7448979591836735,98
SKG_MT_999,0.8125,112
SKG_QA_118,0.821656050955414,157
SKG_SA_252,0.7428571428571429,35
SKG_MT_312,0.7976190476190477,84
SKG_QA_70,0.7870370370370371,216
SKG_QA_63,0.7796610169491526,118
SKG_MT_2,0.827906976744186,215
SKG_MT_1,0.8433048433048433,351
SKG_MT_1029,0.6170212765957447,47
SKG_SA_269,0.8227848101265823,79
SKG_DIA_310,0.8921568627450981,102
SKG_SA_275,0.7732558139534884,172
SKG_MT_327,0.5454545454545454,55
SKG_SA_309,0.803921568627451,102
SKG_MT_731,0.7073170731707317,82
SKG_MT_360,0.7310924369747899,119
SKG_PAR_223,0.8840579710144928,69
SKG_SA_354,0.7840909090909091,88
SKG_SA_369,0.797752808988764,89
SKG_MT_362,0.9285714285714286,56
SKG_MT_365,0.8536585365853658,123
SKG_SA_385,0.8294573643410853,129
SKG_SA_407,0.8241758241758241,182
SKG_PAR_147,0.7083333333333334,24
SKG_PAR_182,0.7894736842105263,76
SKG_DIA_267,0.8303571428571429,112
SKG_MT_1166,0.8163265306122449,49
SKG_SA_443,0.7238095238095238,105
SKG_PAR_135,0.8217821782178217,202
SKG_MT_1257,0.9090909090909091,33
SKG_MT_1264,0.782312925170068,147
SKG_DIA_158,0.7555555555555555,90
SKG_SA_462,0.8064516129032258,155
SKG_DIA_153,0.8492063492063492,126
SKG_SA_463,0.6808510638297872,47
SKG_PAR_59,0.8688524590163934,122
SKG_MT_381,0.7861271676300579,173
SKG_MT_673,0.8108108108108109,111
SKG_MT_1105,0.8314606741573034,89
SKG_SA_566,0.8767123287671232,73
SKG_MT_1288,0.8260869565217391,92
SKG_PAR_36,0.8666666666666667,135
SKG_DIA_260,0.8333333333333334,12
SKG_PAR_175,0.7192982456140351,57
SKG_SA_583,0.8947368421052632,38
SKG_PAR_173,0.7425742574257426,101
SKG_MT_431,1.0,2
SKG_PAR_172,0.8775510204081632,49
SKG_DIA_204,0.8294573643410853,129
SKG_MT_658,0.7647058823529411,170
SKG_PAR_9,0.8048780487804879,41
SKG_PAR_7,0.900709219858156,141
SKG_MT_1190,0.8297872340425532,47
SKG_PAR_5,0.8939393939393939,66
SKG_MT_1298,0.7935483870967742,155
SKG_SA_493,0.8114035087719298,228
SKG_MT_1304,0.7246376811594203,69
SKG_DIA_15,0.8481012658227848,79
SKG_SA_594,0.7794117647058824,68
SKG_SA_595,0.7142857142857143,28
SKG_MT_1311,0.801980198019802,101
SKG_MT_1314,0.7814207650273224,183
SKG_MT_370,0.7933884297520661,121
SKG_SA_617,0.8888888888888888,9
SKG_MT_698,0.7894736842105263,171
SKG_PAR_110,0.8166666666666667,60
SKG_SA_634,0.8505747126436781,87
SKG_DIA_109,0.8586956521739131,92
SKG_MT_1219,0.7142857142857143,98
SKG_MT_459,0.7654320987654321,162
SKG_SA_497,0.8577981651376146,218
SKG_SA_426,0.7578947368421053,95
SKG_PAR_162,0.9230769230769231,13
SKG_DIA_245,0.9444444444444444,18
SKG_SA_427,0.8256880733944955,109
SKG_MT_1229,0.7727272727272727,66
SKG_SA_500,0.75,28
SKG_SUM_78,0.8529411764705882,68
SKG_MT_1230,0.8477157360406091,197
SKG_SUM_85,0.8269230769230769,104
SKG_DIA_86,0.8108108108108109,111
SKG_MT_402,0.785234899328859,149
SKG_SA_504,0.8656716417910447,134
SKG_SUM_108,0.7821782178217822,101
SKG_SUM_128,0.8596491228070176,57
SKG_MT_1233,0.8314606741573034,89
SKG_MT_574,0.813953488372093,129
SKG_MT_513,0.768,125
SKG_SA_431,0.8518518518518519,54
SKG_MT_1138,0.8775510204081632,49
SKG_MT_1160,0.822429906542056,107
SKG_SUM_190,0.8764044943820225,89
SKG_SUM_197,0.9230769230769231,13
SKG_SUM_217,0.8688524590163934,61
SKG_MT_1416,0.7548387096774194,155
SKG_MT_66,0.7701863354037267,161
SKG_MT_546,0.8157894736842105,76
SKG_DIA_68,0.8405797101449275,138
SKG_MT_533,0.6333333333333333,90
SKG_MT_549,0.7647058823529411,34
SKG_SUM_191,0.7,40
SKG_MT_517,0.7163120567375887,141
SKG_MT_1387,0.7184466019417476,103
SKG_MT_497,0.6923076923076923,91
SKG_DIA_57,0.84375,32
SKG_MT_494,0.6907216494845361,97
SKG_MT_605,0.7624309392265194,181
SKG_MT_1432,0.7528089887640449,89
SKG_SUM_113,0.7942857142857143,175
SKG_DIA_78,0.7313432835820896,67
SKG_SUM_109,0.8723404255319149,47
SKG_DIA_87,0.7931034482758621,116
SKG_MT_1370,0.7837837837837838,148
SKG_SUM_103,0.8333333333333334,18
SKG_MT_610,0.6964285714285714,112
SKG_SUM_86,0.6458333333333334,48
SKG_MT_475,0.7586206896551724,232
SKG_MT_636,0.8207547169811321,106
SKG_MT_465,0.8761904761904762,105
SKG_DIA_46,0.8513513513513513,74
SKG_MT_1366,0.8461538461538461,78
SKG_MT_1359,0.7619047619047619,126
SKG_MT_460,0.8363636363636363,55
SKG_MT_1444,0.78125,96
SKG_MT_1451,0.7089552238805971,134
SKG_MT_645,0.7142857142857143,140
SKG_MT_1466,0.8387096774193549,31
SKG_MT_1467,0.675392670157068,191
SKG_MT_650,0.788235294117647,170
SKG_SA_630,0.7727272727272727,44
SKG_DIA_108,0.8253968253968254,126
SKG_MT_448,0.6074766355140186,107
SKG_DIA_31,0.9310344827586207,29
SKG_SA_622,0.8333333333333334,180
SKG_DIA_25,0.7844311377245509,167
SKG_DIA_24,0.8409090909090909,44
SKG_NLI_2,0.7955801104972375,181
SKG_DIA_21,0.8488372093023255,86
SKG_SA_593,0.8,90
SKG_MT_665,0.7006369426751592,157
SKG_SA_578,0.8181818181818182,110
SKG_MT_427,0.8307692307692308,65
SKG_SA_537,0.6933333333333334,75
SKG_SA_520,0.8066666666666666,150
SKG_MT_408,0.8,205
