entity_id,name,domain,first_year,origin_domain,origin_year
E_13559dc1ae,assessing,SA,2022.0,SA,2022.0
E_13559dc1ae,assessing,SUM,2022.0,SA,2022.0
E_13b789b8dc,supervision,SUM,2011.0,SUM,2011.0
E_13b789b8dc,supervision,SA,2014.0,SUM,2011.0
E_13b789b8dc,supervision,DIA,2015.0,SUM,2011.0
E_13b789b8dc,supervision,QA,2018.0,SUM,2011.0
E_13b789b8dc,supervision,MT,2019.0,SUM,2011.0
E_13ca686865,even worse,SA,2015.0,SA,2015.0
E_13ca686865,even worse,MT,2016.0,SA,2015.0
E_13ca686865,even worse,SUM,2019.0,SA,2015.0
E_13ca686865,even worse,QA,2020.0,SA,2015.0
E_13ca686865,even worse,DIA,2021.0,SA,2015.0
E_13fd1a10d5,artificial,DIA,2022.0,DIA,2022.0
E_13fd1a10d5,artificial,MT,2022.0,DIA,2022.0
E_13fd1a10d5,artificial,QA,2022.0,DIA,2022.0
E_13fd1a10d5,artificial,SA,2022.0,DIA,2022.0
E_13fd1a10d5,artificial,SUM,2022.0,DIA,2022.0
E_14754f13e5,machine,QA,2018.0,QA,2018.0
E_14754f13e5,machine,DIA,2019.0,QA,2018.0
E_14754f13e5,machine,MT,2019.0,QA,2018.0
E_14754f13e5,machine,SUM,2020.0,QA,2018.0
E_14754f13e5,machine,SA,2022.0,QA,2018.0
E_149b7ff2e0,oxidative,DIA,2022.0,DIA,2022.0
E_149b7ff2e0,oxidative,MT,2022.0,DIA,2022.0
E_149b7ff2e0,oxidative,QA,2022.0,DIA,2022.0
E_149b7ff2e0,oxidative,SUM,2022.0,DIA,2022.0
E_149b7ff2e0,oxidative,SA,2023.0,DIA,2022.0
E_14e10d5700,evidence,MT,2010.0,MT,2010.0
E_14e10d5700,evidence,QA,2017.0,MT,2010.0
E_14e10d5700,evidence,DIA,2020.0,MT,2010.0
E_14e10d5700,evidence,SA,2022.0,MT,2010.0
E_14e12aa198,significantly better results,MT,2010.0,MT,2010.0
E_14e12aa198,significantly better results,DIA,2017.0,MT,2010.0
E_14e12aa198,significantly better results,QA,2018.0,MT,2010.0
E_14e12aa198,significantly better results,SA,2020.0,MT,2010.0
E_14e12aa198,significantly better results,SUM,2021.0,MT,2010.0
E_14f4aeb5be,competitive,MT,2011.0,MT,2011.0
E_14f4aeb5be,competitive,SUM,2015.0,MT,2011.0
E_14f4aeb5be,competitive,QA,2017.0,MT,2011.0
E_14f4aeb5be,competitive,SA,2018.0,MT,2011.0
E_14f4aeb5be,competitive,DIA,2021.0,MT,2011.0
E_155f69ec7b,competing interests,MT,2022.0,MT,2022.0
E_155f69ec7b,competing interests,QA,2022.0,MT,2022.0
E_155f69ec7b,competing interests,SA,2022.0,MT,2022.0
E_155f69ec7b,competing interests,DIA,2023.0,MT,2022.0
E_155f69ec7b,competing interests,SUM,2023.0,MT,2022.0
E_15610cc266,additional,DIA,2022.0,DIA,2022.0
E_15610cc266,additional,MT,2022.0,DIA,2022.0
E_15610cc266,additional,QA,2022.0,DIA,2022.0
E_15610cc266,additional,SA,2022.0,DIA,2022.0
E_15610cc266,additional,SUM,2022.0,DIA,2022.0
E_15d7000797,international,DIA,2022.0,QA,2022.0
E_15d7000797,international,MT,2022.0,QA,2022.0
E_15d7000797,international,QA,2022.0,QA,2022.0
E_15d7000797,international,SA,2022.0,QA,2022.0
E_15d7000797,international,SUM,2022.0,QA,2022.0
E_16518154fc,electronic,SA,2015.0,SA,2015.0
E_16518154fc,electronic,DIA,2022.0,SA,2015.0
E_16518154fc,electronic,MT,2022.0,SA,2015.0
E_16518154fc,electronic,QA,2022.0,SA,2015.0
E_166e64f6c3,parameters,SUM,2010.0,SUM,2010.0
E_166e64f6c3,parameters,SA,2011.0,SUM,2010.0
E_166e64f6c3,parameters,MT,2012.0,SUM,2010.0
E_166e64f6c3,parameters,QA,2015.0,SUM,2010.0
E_166e64f6c3,parameters,DIA,2016.0,SUM,2010.0
E_167658e298,mini-batches,MT,2013.0,MT,2013.0
E_167658e298,mini-batches,QA,2016.0,MT,2013.0
E_167658e298,mini-batches,SA,2016.0,MT,2013.0
E_167658e298,mini-batches,DIA,2019.0,MT,2013.0
E_16ccdaad23,novel framework,MT,2010.0,MT,2010.0
E_16ccdaad23,novel framework,QA,2016.0,MT,2010.0
E_16ccdaad23,novel framework,DIA,2017.0,MT,2010.0
E_16ccdaad23,novel framework,SA,2017.0,MT,2010.0
E_16ccdaad23,novel framework,SUM,2021.0,MT,2010.0
E_16cf885fd7,test set,MT,2010.0,MT,2010.0
E_16cf885fd7,test set,SA,2011.0,MT,2010.0
E_16cf885fd7,test set,QA,2015.0,MT,2010.0
E_16cf885fd7,test set,DIA,2017.0,MT,2010.0
E_16cf885fd7,test set,SUM,2018.0,MT,2010.0
E_1717ff91e8,does not improve,MT,2014.0,MT,2014.0
E_1717ff91e8,does not improve,QA,2016.0,MT,2014.0
E_1717ff91e8,does not improve,SA,2016.0,MT,2014.0
E_1717ff91e8,does not improve,SUM,2017.0,MT,2014.0
E_180c9946dc,supplementary information,QA,2019.0,QA,2019.0
E_180c9946dc,supplementary information,DIA,2022.0,QA,2019.0
E_180c9946dc,supplementary information,MT,2022.0,QA,2019.0
E_180c9946dc,supplementary information,SA,2022.0,QA,2019.0
E_180c9946dc,supplementary information,SUM,2022.0,QA,2019.0
E_18262ad813,cosine similarity,SUM,2011.0,SUM,2011.0
E_18262ad813,cosine similarity,MT,2013.0,SUM,2011.0
E_18262ad813,cosine similarity,QA,2016.0,SUM,2011.0
E_18262ad813,cosine similarity,SA,2017.0,SUM,2011.0
E_18262ad813,cosine similarity,DIA,2020.0,SUM,2011.0
E_1844e66efa,novel method,MT,2010.0,MT,2010.0
E_1844e66efa,novel method,QA,2015.0,MT,2010.0
E_1844e66efa,novel method,SA,2015.0,MT,2010.0
E_1844e66efa,novel method,SUM,2019.0,MT,2010.0
E_1847351c5d,of this study,DIA,2022.0,MT,2022.0
E_1847351c5d,of this study,MT,2022.0,MT,2022.0
E_1847351c5d,of this study,QA,2022.0,MT,2022.0
E_1847351c5d,of this study,SA,2022.0,MT,2022.0
E_1847351c5d,of this study,SUM,2022.0,MT,2022.0
E_18a0f2765b,average improvement,QA,2011.0,QA,2011.0
E_18a0f2765b,average improvement,MT,2012.0,QA,2011.0
E_18a0f2765b,average improvement,SA,2012.0,QA,2011.0
E_18bba49526,translation,MT,2010.0,MT,2010.0
E_18bba49526,translation,QA,2013.0,MT,2010.0
E_18bba49526,translation,SA,2019.0,MT,2010.0
E_18bba49526,translation,SUM,2020.0,MT,2010.0
E_196884a8c0,modeling,MT,2012.0,MT,2012.0
E_196884a8c0,modeling,QA,2019.0,MT,2012.0
E_196884a8c0,modeling,DIA,2020.0,MT,2012.0
E_196884a8c0,modeling,SA,2022.0,MT,2012.0
E_196884a8c0,modeling,SUM,2022.0,MT,2012.0
E_1a79a4d60d,example,MT,2020.0,MT,2020.0
E_1a79a4d60d,example,DIA,2022.0,MT,2020.0
E_1a79a4d60d,example,QA,2022.0,MT,2020.0
E_1a79a4d60d,example,SA,2022.0,MT,2020.0
E_1a79a4d60d,example,SUM,2022.0,MT,2020.0
E_1b20e9021b,building,DIA,2022.0,DIA,2022.0
E_1b20e9021b,building,MT,2022.0,DIA,2022.0
E_1b20e9021b,building,QA,2022.0,DIA,2022.0
E_1b20e9021b,building,SA,2022.0,DIA,2022.0
E_1b20e9021b,building,SUM,2022.0,DIA,2022.0
E_1b63071f64,declare no competing,DIA,2022.0,DIA,2022.0
E_1b63071f64,declare no competing,MT,2022.0,DIA,2022.0
E_1b63071f64,declare no competing,QA,2022.0,DIA,2022.0
E_1b63071f64,declare no competing,SA,2022.0,DIA,2022.0
E_1b63071f64,declare no competing,SUM,2022.0,DIA,2022.0
E_1becaec954,baseline models,MT,2012.0,MT,2012.0
E_1becaec954,baseline models,DIA,2017.0,MT,2012.0
E_1becaec954,baseline models,SA,2017.0,MT,2012.0
E_1becaec954,baseline models,QA,2018.0,MT,2012.0
E_1becaec954,baseline models,SUM,2018.0,MT,2012.0
E_1c23965582,impaired,DIA,2022.0,QA,2022.0
E_1c23965582,impaired,MT,2022.0,QA,2022.0
E_1c23965582,impaired,QA,2022.0,QA,2022.0
E_1c23965582,impaired,SA,2022.0,QA,2022.0
E_1c23965582,impaired,SUM,2023.0,QA,2022.0
E_1c67665285,review,SA,2015.0,SUM,2015.0
E_1c67665285,review,SUM,2015.0,SUM,2015.0
E_1c67665285,review,DIA,2022.0,SUM,2015.0
E_1c8a2a7c15,universal,SA,2019.0,SA,2019.0
E_1c8a2a7c15,universal,DIA,2022.0,SA,2019.0
E_1c8a2a7c15,universal,MT,2022.0,SA,2019.0
E_1c8a2a7c15,universal,QA,2022.0,SA,2019.0
E_1c8a2a7c15,universal,SUM,2022.0,SA,2019.0
E_1ca30206ab,researchers,MT,2019.0,MT,2019.0
E_1ca30206ab,researchers,DIA,2022.0,MT,2019.0
E_1ca30206ab,researchers,QA,2022.0,MT,2019.0
E_1ca30206ab,researchers,SA,2022.0,MT,2019.0
E_1ca30206ab,researchers,SUM,2022.0,MT,2019.0
E_1d197b3666,test sets,MT,2011.0,MT,2011.0
E_1d197b3666,test sets,SA,2014.0,MT,2011.0
E_1d197b3666,test sets,DIA,2021.0,MT,2011.0
E_1d9ea393bf,more significant,MT,2013.0,MT,2013.0
E_1d9ea393bf,more significant,SA,2015.0,MT,2013.0
E_1d9ea393bf,more significant,QA,2019.0,MT,2013.0
E_1d9ea393bf,more significant,SUM,2019.0,MT,2013.0
E_1dfa1b6f3f,on artificial intelligence,DIA,2022.0,SA,2022.0
E_1dfa1b6f3f,on artificial intelligence,MT,2022.0,SA,2022.0
E_1dfa1b6f3f,on artificial intelligence,QA,2022.0,SA,2022.0
E_1dfa1b6f3f,on artificial intelligence,SA,2022.0,SA,2022.0
E_1dfa1b6f3f,on artificial intelligence,SUM,2023.0,SA,2022.0
E_1dfb6b98ae,visual,SA,2012.0,SA,2012.0
E_1dfb6b98ae,visual,DIA,2022.0,SA,2012.0
E_1dfb6b98ae,visual,MT,2022.0,SA,2012.0
E_1dfb6b98ae,visual,QA,2022.0,SA,2012.0
E_1e0f21874b,diverse,SUM,2019.0,SUM,2019.0
E_1e0f21874b,diverse,MT,2020.0,SUM,2019.0
E_1e0f21874b,diverse,DIA,2022.0,SUM,2019.0
E_1e0f21874b,diverse,SA,2022.0,SUM,2019.0
E_1e0f21874b,diverse,QA,2023.0,SUM,2019.0
E_1e22a0fc4a,best results,SUM,2010.0,SUM,2010.0
E_1e22a0fc4a,best results,MT,2011.0,SUM,2010.0
E_1e22a0fc4a,best results,SA,2011.0,SUM,2010.0
E_1e22a0fc4a,best results,QA,2015.0,SUM,2010.0
E_1e22a0fc4a,best results,DIA,2018.0,SUM,2010.0
E_1e93a02a58,higher performance,DIA,2010.0,DIA,2010.0
E_1e93a02a58,higher performance,SUM,2010.0,DIA,2010.0
E_1e93a02a58,higher performance,SA,2013.0,DIA,2010.0
E_1e93a02a58,higher performance,MT,2014.0,DIA,2010.0
E_1e93a02a58,higher performance,QA,2016.0,DIA,2010.0
E_1f68fb6faf,dropout probability,MT,2017.0,MT,2017.0
E_1f68fb6faf,dropout probability,SA,2018.0,MT,2017.0
E_1f68fb6faf,dropout probability,QA,2019.0,MT,2017.0
E_1f68fb6faf,dropout probability,DIA,2020.0,MT,2017.0
E_1f68fb6faf,dropout probability,SUM,2020.0,MT,2017.0
E_1fe0ff1bbf,examining,DIA,2022.0,SA,2022.0
E_1fe0ff1bbf,examining,MT,2022.0,SA,2022.0
E_1fe0ff1bbf,examining,SA,2022.0,SA,2022.0
E_1fe0ff1bbf,examining,SUM,2022.0,SA,2022.0
E_1fe0ff1bbf,examining,QA,2023.0,SA,2022.0
E_20104f8c28,grid search,SA,2013.0,SA,2013.0
E_20104f8c28,grid search,SUM,2016.0,SA,2013.0
E_20104f8c28,grid search,MT,2018.0,SA,2013.0
E_20104f8c28,grid search,QA,2018.0,SA,2013.0
E_20104f8c28,grid search,DIA,2019.0,SA,2013.0
E_205360f460,objective,MT,2010.0,MT,2010.0
E_205360f460,objective,SA,2015.0,MT,2010.0
E_205360f460,objective,DIA,2017.0,MT,2010.0
E_205360f460,objective,QA,2019.0,MT,2010.0
E_205360f460,objective,SUM,2024.0,MT,2010.0
E_2067d96668,specific,DIA,2022.0,SA,2022.0
E_2067d96668,specific,MT,2022.0,SA,2022.0
E_2067d96668,specific,QA,2022.0,SA,2022.0
E_2067d96668,specific,SA,2022.0,SA,2022.0
E_2067d96668,specific,SUM,2022.0,SA,2022.0
E_211bdc5dc7,significantly worse,MT,2011.0,MT,2011.0
E_211bdc5dc7,significantly worse,QA,2011.0,MT,2011.0
E_211bdc5dc7,significantly worse,SUM,2013.0,MT,2011.0
E_211bdc5dc7,significantly worse,SA,2019.0,MT,2011.0
E_21256a8819,recurrent neural network,MT,2013.0,MT,2013.0
E_21256a8819,recurrent neural network,SA,2017.0,MT,2013.0
E_21256a8819,recurrent neural network,QA,2019.0,MT,2013.0
E_21256a8819,recurrent neural network,SUM,2020.0,MT,2013.0
E_213c334e95,model parameters,MT,2016.0,MT,2016.0
E_213c334e95,model parameters,QA,2017.0,MT,2016.0
E_213c334e95,model parameters,SA,2017.0,MT,2016.0
E_213c334e95,model parameters,SUM,2017.0,MT,2016.0
E_213c334e95,model parameters,DIA,2020.0,MT,2016.0
E_218bd911f3,significant gains,MT,2011.0,MT,2011.0
E_218bd911f3,significant gains,SA,2016.0,MT,2011.0
E_218bd911f3,significant gains,QA,2020.0,MT,2011.0
E_21f64da1e5,documents,MT,2011.0,MT,2011.0
E_21f64da1e5,documents,QA,2011.0,MT,2011.0
E_21f64da1e5,documents,SUM,2011.0,MT,2011.0
E_21f64da1e5,documents,SA,2015.0,MT,2011.0
E_21f64da1e5,documents,DIA,2023.0,MT,2011.0
E_224daf9be1,understanding,QA,2019.0,QA,2019.0
E_224daf9be1,understanding,DIA,2020.0,QA,2019.0
E_224daf9be1,understanding,MT,2020.0,QA,2019.0
E_224daf9be1,understanding,SA,2022.0,QA,2019.0
E_224daf9be1,understanding,SUM,2023.0,QA,2019.0
E_22884db148,module,DIA,2016.0,DIA,2016.0
E_22884db148,module,SA,2016.0,DIA,2016.0
E_22884db148,module,QA,2017.0,DIA,2016.0
E_22884db148,module,SUM,2018.0,DIA,2016.0
E_22884db148,module,MT,2020.0,DIA,2016.0
E_228d6a97a9,negative,SA,2013.0,SA,2013.0
E_228d6a97a9,negative,MT,2021.0,SA,2013.0
E_228d6a97a9,negative,SUM,2022.0,SA,2013.0
E_228d6a97a9,negative,DIA,2023.0,SA,2013.0
E_228d6a97a9,negative,QA,2023.0,SA,2013.0
E_2290dc931c,advantage,MT,2010.0,MT,2010.0
E_2290dc931c,advantage,SA,2016.0,MT,2010.0
