paper_id,year,semantic_knn,structural_novelty,triple_count,cited_by_count,reference_count,citation_signal,struct_norm,semantic_norm,citation_norm,composite_novelty,n_triples,mean_dist,min_dist,pct_unseen_entity,pct_unseen_pred,transe_unexpectedness,n_citations,mean_link_prob,tgn_unexpectedness,kg_unexpectedness,disruptiveness,disruption_class,rank
NOVEL_DIA_W4392669753,2023,0.976205050945282,0.8056426332288401,638.0,581,72,6.366470447731438,0.8056426324231974,0.9446017749823294,0.6847555689358814,0.8908253258658583,638.0,1.5183452,1.3184168,0.0,0.0,0.0,72.0,0.3,0.9999999999999997,0.49999999999999983,0.9296747506991118,DISRUPTIVE,33
NOVEL_DIA_W4284991798,2022,0.9040955305099488,1.0,358.0,659,110,6.492239835020471,0.999999999,0.7767199584705596,0.6982828897732075,0.8135322597067125,358.0,1.8765709,1.3316698,0.0,0.0,0.3605973,110.0,0.2999999999999999,1.0,0.6802986562252045,0.9296544885716438,DISRUPTIVE,34
NOVEL_QA_36,2021,0.9430295825004578,0.8723404255319149,47.0,17,90,2.8903717578961645,0.8723404246595744,0.8673642913252207,0.3108784017397958,0.812710929033549,47.0,2.2903445,1.4922906,0.0,0.0,0.7771102,20.0,0.582633153796196,0.5852997516616025,0.6812049853316863,0.9292596134845993,DISRUPTIVE,35
NOVEL_SUM_71,2021,0.9524504542350768,0.8888888888888888,27.0,64,69,4.174387269895637,0.8888888879999999,0.889297498624118,0.448982674689809,0.8451842941058635,27.0,2.2458797,1.4778007,0.0,0.0,0.732351,4.0,0.6608872413635254,0.4704795718214589,0.6014152884494105,0.9276886840531818,DISRUPTIVE,36
NOVEL_MT_66,2021,0.9868783950805664,0.7457627118644068,177.0,16,45,2.833213344056216,0.745762711118644,0.9694509265349834,0.3047306401959732,0.8582412548178147,177.0,2.0976276,1.4781079,0.0,0.0,0.5831175,7.0,0.6019816219806672,0.5569102493923334,0.57001386721936,0.9273231006698146,DISRUPTIVE,37
NOVEL_SA_25,2021,0.9760361909866332,0.6821705426356589,129.0,28,59,3.367295829986474,0.6821705419534883,0.9442086435841046,0.3621747074408277,0.8335976296436537,129.0,2.1687682,1.5198586,0.0,0.0,0.654729,4.0,0.573791716992855,0.5982725610746753,0.6265007848746484,0.9269263627216162,DISRUPTIVE,38
NOVEL_MT_202,2021,0.9866971969604492,0.7094017094017094,117.0,12,55,2.5649493574615367,0.7094017086923077,0.9690290700398888,0.2758770924926137,0.847788400015645,117.0,2.1211193,1.3512427,0.0,0.0,0.6067647,12.0,0.5863973697026571,0.579776615928084,0.5932706450573952,0.9268800999785958,DISRUPTIVE,39
NOVEL_MT_154,2021,0.9803964495658876,0.7534246575342466,146.0,35,60,3.58351893845611,0.7534246567808218,0.9543599818030672,0.3854309180637747,0.8572800104246888,146.0,2.1565115,1.4459254,0.0,0.0,0.64239126,4.0,0.6416582524776459,0.49869376523494885,0.570542514836789,0.926652958253225,DISRUPTIVE,40
NOVEL_DIA_35,2021,0.9855262637138368,0.8,25.0,51,32,3.951243718581428,0.7999999992,0.9663029612089252,0.4249821251405716,0.8789102852003048,25.0,2.1773667,1.4760089,0.0,0.0,0.6633845,2.0,0.724922439455986,0.3765223973192392,0.5199534472424596,0.9266066626067394,DISRUPTIVE,41
NOVEL_MT_179,2021,0.9877514839172364,0.6770833333333334,96.0,37,52,3.6375861597263857,0.67708333265625,0.971483608752136,0.391246201613061,0.8545798128190515,96.0,2.0830646,1.4527544,0.0,0.0,0.568458,11.0,0.585356911204078,0.5813032535215552,0.5748806371043292,0.9258858344983694,DISRUPTIVE,42
NOVEL_SA_W4229024336,2022,0.8992711305618286,1.0,509.0,354,173,5.872117789475416,0.999999999,0.7654880292886697,0.6315847047124106,0.7990000907733098,509.0,1.923991,1.1809739,0.0,0.0,0.40833127,173.0,0.29999999999999993,0.9999999999999999,0.7041656374931335,0.925729067371503,DISRUPTIVE,43
NOVEL_SUM_39,2021,0.9921358227729796,0.6810810810810811,185.0,43,37,3.784189633918261,0.6810810803999999,0.9816910094789982,0.4070143648681038,0.8641013592021091,185.0,2.0720541,1.4763478,0.0,0.0,0.5573747,6.0,0.6092839787403742,0.5461956919491194,0.5517852038770865,0.9255424117306961,DISRUPTIVE,44
NOVEL_SUM_21,2021,0.9900585412979126,0.6988636363636364,176.0,70,52,4.262679877041316,0.6988636356647726,0.9768547855610588,0.4584791225152151,0.8694189892772172,176.0,2.062729,1.4759893,0.0,0.0,0.5479877,5.0,0.6198298406600952,0.5307220240573323,0.5393548617829996,0.9255336008748793,DISRUPTIVE,45
NOVEL_MT_128,2021,0.9855377078056335,0.8363636363636363,110.0,13,38,2.6390573296152584,0.8363636355272726,0.9663296047770362,0.283847889977881,0.8720882394471678,110.0,2.2084856,1.4703813,0.0,0.0,0.6947094,2.0,0.7294217646121979,0.3699206549738181,0.5323150375889903,0.925216337854369,DISRUPTIVE,46
NOVEL_SA_28,2021,0.9430295825004578,0.8723404255319149,47.0,17,90,2.8903717578961645,0.8723404246595744,0.8673642913252207,0.3108784017397958,0.812710929033549,47.0,2.268565,1.4855285,0.0,0.0,0.7551865,20.0,0.5826331529021264,0.5852997529734475,0.6702431255692891,0.9249743682616501,DISRUPTIVE,47
NOVEL_DIA_W4379416244,2023,0.9185075759887696,0.8058252427184466,103.0,430,30,6.066108090103747,0.8058252419126213,0.8102733694491345,0.6524496313252607,0.7936013701294444,103.0,1.9413342,1.3975643,0.0,0.0,0.4257894,30.0,0.30000000000000004,0.9999999999999997,0.7128946930170057,0.92421699236573,DISRUPTIVE,48
