paper_id,year,semantic_novelty,structural_novelty,triple_count,cited_by_count,reference_count,citation_signal,struct_norm,semantic_norm,citation_norm,composite_novelty
SKG_MT_286,2011,0.0645549893379211,0.8695652173913043,69.0,17,46,2.8903717578961645,0.869565216521739,0.06455510078708784,0.3194965634040153,0.4925543049161062
SKG_MT_919,2011,0.0713245272636413,0.953125,64.0,8,82,2.1972245773362196,0.953124999046875,0.07132463789904679,0.24287730447405703,0.529380085130462
SKG_MT_440,2011,0.0714189410209655,0.8875,80.0,11,20,2.4849066497880004,0.8874999991124999,0.07141905164502159,0.27467717009694514,0.49978533722395313
SKG_MT_1111,2011,0.1582053303718567,0.8717948717948718,39.0,17,14,2.8903717578961645,0.8717948709230768,0.15820543056338382,0.3194965634040153,0.5311292640272934
SKG_MT_1129,2011,0.0831929445266723,0.7037037037037037,27.0,17,10,2.8903717578961645,0.703703703,0.08319305373538395,0.3194965634040153,0.4170787293345551
SKG_SA_181,2011,0.1267598867416381,0.875,8.0,18,15,2.9444389791664403,0.8749999991249999,0.1267599907131992,0.325473058068228,0.5207513016546024
SKG_DIA_253,2011,0.1537460088729858,1.0,9.0,1,2,0.6931471805599453,0.9999999989999999,0.15374610960056476,0.07661925892995831,0.5691603692332218
SKG_DIA_233,2011,0.1017923355102539,1.0,2.0,8,20,2.1972245773362196,0.9999999989999999,0.10179244248314626,0.24287730447405703,0.5650047069406642
SKG_SA_192,2011,0.0742758512496948,0.811965811965812,117.0,246,10,5.5093883366279774,0.8119658111538461,0.07427596153032377,0.6089980069871823,0.4965930908877708
SKG_MT_409,2011,0.0823343396186828,0.86,100.0,14,22,2.70805020110221,0.8599999991399999,0.08233444893060674,0.29934306215594814,0.49286808535783744
SKG_MT_1227,2011,0.1036261320114135,0.8888888888888888,9.0,56,15,4.04305126783455,0.8888888879999999,0.10362623876386651,0.44691171030525656,0.5305861105360722
SKG_QA_392,2011,0.0835984349250793,0.8863636363636364,44.0,8,26,2.1972245773362196,0.8863636354772726,0.08359854408504726,0.24287730447405703,0.500908965820061
